CVE,Vendor,Product,Name
CVE-2013-1690,Mozilla,Firefox and Thunderbird,Mozilla Firefox and Thunderbird Denial-of-Service Vulnerability
CVE-2012-2539,Microsoft,Word,Microsoft Word Remote Code Execution Vulnerability
CVE-2012-2034,Adobe,Flash Player,Adobe Flash Player Memory Corruption Vulnerability
CVE-2011-2005,Microsoft,Ancillary Function Driver (afd.sys),Microsoft Ancillary Function Driver (afd.sys) Improper Input Validation Vulnerability
CVE-2010-4398,Microsoft,Windows,Microsoft Windows Kernel Stack-Based Buffer Overflow Vulnerability
CVE-2021-34484,Microsoft ,Windows ,Microsoft Windows User Profile Service Privilege Escalation Vulnerability
CVE-2022-22965,VMware,Spring Framework,Spring Framework JDK 9+ Remote Code Execution Vulnerability
CVE-2021-31166,Microsoft,HTTP Protocol Stack,Microsoft HTTP Protocol Stack Remote Code Execution Vulnerability
CVE-2017-0148,Microsoft,SMBv1 server,Microsoft SMBv1 Server Remote Code Execution Vulnerability
CVE-2021-42287,Microsoft,Active Directory,Microsoft Active Directory Domain Services Privilege Escalation Vulnerability
CVE-2021-42278,Microsoft,Active Directory,Microsoft Active Directory Domain Services Privilege Escalation Vulnerability
CVE-2021-39793,Google,Pixel,Google Pixel Out-of-Bounds Write Vulnerability
CVE-2022-24521,Microsoft,Windows,Microsoft Windows CLFS Driver Privilege Escalation Vulnerability
CVE-2015-5123,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2015-5122,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2015-3113,Adobe,Flash Player,Adobe Flash Player Heap-Based Buffer Overflow Vulnerability
CVE-2015-2502,Microsoft,Internet Explorer,Microsoft Internet Explorer Memory Corruption Vulnerability
CVE-2015-0313,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2015-0311,Adobe,Flash Player,Adobe Flash Player Remote Code Execution Vulnerability
CVE-2014-9163,Adobe,Flash Player,Adobe Flash Player Stack-Based Buffer Overflow Vulnerability
CVE-2022-22954,VMware,Workspace ONE Access and Identity Manager,VMware Workspace ONE Access and Identity Manager Server-Side Template Injection Vulnerability
CVE-2022-22960,VMware,Multiple Products,VMware Multiple Products Privilege Escalation Vulnerability
CVE-2022-1364,Google,Chromium V8 Engine,Google Chromium V8 Type Confusion Vulnerability
CVE-2022-22718,Microsoft,Windows,Microsoft Windows Print Spooler Privilege Escalation Vulnerability
CVE-2022-26904,Microsoft,Windows,Microsoft Windows User Profile Service Privilege Escalation Vulnerability
CVE-2022-21919,Microsoft,Windows,Microsoft Windows User Profile Service Privilege Escalation Vulnerability
CVE-2021-41357,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2021-40450,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
